Record_ID,Date,Year,Month,Month_Name,Quarter,Year_Month,Source,Source_URL,Country,Latitude,Longitude,Themes,Theme_Count,Number_of_Themes,Misinfo_Flag,Tone_Overall,Tone_Positive,Tone_Negative,Tone_Polarity,Tone_Activity,Tone_SelfGroup,Context_Category,Tone_Category
GDELT-SYNTHETIC-20220101-00333,2022-01-01,2022,1,January,Q1,2022-01,The Guardian,https://www.theguardian.com/news/2022/01/01/social-media-flags-health-posts-as-misinformation,Brazil,-14.23,-51.92,ELECTION; CYBER_ATTACK; VACCINE_MISINFORMATION; SOC_POINTSOFINTEREST,4,4,1,-0.21,1.88,0.15,2.03,6.18,3.8,CRISISLEX_C07;15;1;Brazil;-14.23;-51.92,Neutral
GDELT-SYNTHETIC-20220102-00214,2022-01-02,2022,1,January,Q1,2022-01,Deutsche Welle,https://www.dw.com/news/2022/01/02/fact-check-claims-about-covid-go-viral-on-social-media,Ghana,7.94,-1.02,TAX_FNCACT_POLITICIAN; CRISISLEX_CRISISLEXREC; INFORMATION_OPERATIONS; FAKE_NEWS; PROPAGANDA; TAX_FNCACT_JOURNALIST,6,6,1,-6.3,0.71,7.88,8.59,6.6,2.85,ARREST;34;1;Ghana;7.94;-1.02,Negative
GDELT-SYNTHETIC-20220105-00391,2022-01-05,2022,1,January,Q1,2022-01,Al Jazeera,https://www.aljazeera.com/news/2022/01/05/political-disinformation-campaign-traced-to-foreign-actors,United Kingdom,55.37,-3.43,DISINFORMATION; WB_MEDIA; ELECTION; CYBER_ATTACK; WB_HEALTH; FAKE_NEWS,6,6,1,-7.93,3.26,8.48,11.74,6.04,1.9,ARREST;19;1;United Kingdom;55.37;-3.43,Negative
GDELT-SYNTHETIC-20220106-00173,2022-01-06,2022,1,January,Q1,2022-01,Al Jazeera,https://www.aljazeera.com/news/2022/01/06/fact-check-claims-about-covid-go-viral-on-social-media,Ukraine,48.37,31.16,FAKE_NEWS; WB_HEALTH; ELECTION_FRAUD; CRISISLEX_T10_URGENCY,4,4,1,-2.99,0.48,4.76,5.24,13.39,1.89,PROTEST;23;1;Ukraine;48.37;31.16,Negative
GDELT-SYNTHETIC-20220108-00334,2022-01-08,2022,1,January,Q1,2022-01,The Guardian,https://www.theguardian.com/news/2022/01/08/report-finds-surge-in-health-conspiracy-theories,Mexico,23.63,-102.55,CRISISLEX_CRISISLEXREC; GOV_GOVERNMENT_GENERAL; VACCINE_MISINFORMATION,3,3,1,-3.56,1.0,4.31,5.31,10.52,3.05,ARREST;17;1;Mexico;23.63;-102.55,Negative
GDELT-SYNTHETIC-20220110-00168,2022-01-10,2022,1,January,Q1,2022-01,France 24,https://www.france24.com/news/2022/01/10/climate-disinformation-campaign-traced-to-foreign-actors,Russia,61.52,105.31,ECON_BANKRUPTCY; MEDIA_MANIPULATION; WB_HEALTH,3,3,1,-2.91,3.55,3.41,6.96,10.95,2.29,CRISISLEX_C07;31;1;Russia;61.52;105.31,Negative
GDELT-SYNTHETIC-20220112-00405,2022-01-12,2022,1,January,Q1,2022-01,Reuters,https://www.reuters.com/news/2022/01/12/report-finds-surge-in-security-conspiracy-theories,USA,37.09,-95.71,CYBER_ATTACK; WB_HEALTH; CRISISLEX_T10_URGENCY; CRISISLEX_CRISISLEXREC,4,4,1,-3.35,2.28,5.03,7.31,4.07,0.52,CRISISLEX_C07;12;1;United States;37.09;-95.71,Negative
GDELT-SYNTHETIC-20220113-00455,2022-01-13,2022,1,January,Q1,2022-01,Al Jazeera,https://www.aljazeera.com/news/2022/01/13/social-media-flags-security-posts-as-misinformation,Mexico,23.63,-102.55,CYBER_ATTACK; VACCINE_MISINFORMATION; WB_HEALTH; TAX_FNCACT_POLITICIAN,4,4,1,-2.63,1.51,3.29,4.8,8.1,1.41,ARREST;47;1;Mexico;23.63;-102.55,Negative
GDELT-SYNTHETIC-20220115-00500,2022-01-15,2022,1,January,Q1,2022-01,France 24,https://www.france24.com/news/2022/01/15/report-finds-surge-in-security-conspiracy-theories,Egypt,26.82,30.8,CYBER_ATTACK; TAX_FNCACT_POLITICIAN; GOV_GOVERNMENT_GENERAL; FAKE_NEWS,4,4,1,-1.47,1.72,2.33,4.05,10.37,2.84,ARREST;28;1;Egypt;26.82;30.8,Negative
GDELT-SYNTHETIC-20220117-00154,2022-01-17,2022,1,January,Q1,2022-01,BBC News,https://www.bbc.com/news/2022/01/17/election-disinformation-campaign-traced-to-foreign-actors,Germany,51.16,10.45,CLIMATE_DENIAL; ELECTION,2,2,1,-5.26,1.97,7.15,9.12,6.12,4.31,PROTEST;26;1;Germany;51.16;10.45,Negative
GDELT-SYNTHETIC-20220117-00112,2022-01-17,2022,1,January,Q1,2022-01,Al Jazeera,https://www.aljazeera.com/news/2022/01/17/experts-debunk-false-political-narratives-online,Nigeria,9.08,8.67,CRISISLEX_T10_URGENCY; DISINFORMATION; FAKE_NEWS,3,3,1,-4.53,1.51,5.31,6.82,9.18,2.08,WOUND;45;1;Nigeria;9.08;8.67,Negative
