Record_ID,Date,Year,Month,Month_Name,Quarter,Year_Month,Source,Source_URL,Country,Latitude,Longitude,Themes,Theme_Count,Number_of_Themes,Misinfo_Flag,Tone_Overall,Tone_Positive,Tone_Negative,Tone_Polarity,Tone_Activity,Tone_SelfGroup,Context_Category,Tone_Category
GDELT-SYNTHETIC-20220101-00333,2022-01-01,2022,1,January,Q1,2022-01,The Guardian,https://www.theguardian.com/news/2022/01/01/social-media-flags-health-posts-as-misinformation,Brazil,-14.23,-51.92,ELECTION; CYBER_ATTACK; VACCINE_MISINFORMATION; SOC_POINTSOFINTEREST,4,4,1,-0.21,1.88,0.15,2.03,6.18,3.8,CRISISLEX_C07;15;1;Brazil;-14.23;-51.92,Neutral
GDELT-SYNTHETIC-20220105-00391,2022-01-05,2022,1,January,Q1,2022-01,Al Jazeera,https://www.aljazeera.com/news/2022/01/05/political-disinformation-campaign-traced-to-foreign-actors,United Kingdom,55.37,-3.43,DISINFORMATION; WB_MEDIA; ELECTION; CYBER_ATTACK; WB_HEALTH; FAKE_NEWS,6,6,1,-7.93,3.26,8.48,11.74,6.04,1.9,ARREST;19;1;United Kingdom;55.37;-3.43,Negative
GDELT-SYNTHETIC-20220117-00154,2022-01-17,2022,1,January,Q1,2022-01,BBC News,https://www.bbc.com/news/2022/01/17/election-disinformation-campaign-traced-to-foreign-actors,Germany,51.16,10.45,CLIMATE_DENIAL; ELECTION,2,2,1,-5.26,1.97,7.15,9.12,6.12,4.31,PROTEST;26;1;Germany;51.16;10.45,Negative
GDELT-SYNTHETIC-20220121-00482,2022-01-21,2022,1,January,Q1,2022-01,The Guardian,https://www.theguardian.com/news/2022/01/21/journalists-targeted-amid-election-misinformation-wave,South Africa,-30.55,22.93,MEDIA_MANIPULATION; TAX_FNCACT_JOURNALIST; GOV_GOVERNMENT_GENERAL,3,3,1,-0.15,0.7,1.56,2.26,10.43,1.35,CRISISLEX_C07;2;1;South Africa;-30.55;22.93,Neutral
GDELT-SYNTHETIC-20220209-00306,2022-02-09,2022,2,February,Q1,2022-02,Deutsche Welle,https://www.dw.com/news/2022/02/09/government-warns-of-health-related-fake-news,Ethiopia,9.14,40.48,GOV_GOVERNMENT_GENERAL; CYBER_ATTACK; ELECTION_FRAUD; FAKE_NEWS,4,4,1,-0.78,3.88,2.55,6.43,6.53,1.38,PROTEST;45;1;Ethiopia;9.14;40.48,Neutral
GDELT-SYNTHETIC-20220225-00374,2022-02-25,2022,2,February,Q1,2022-02,France 24,https://www.france24.com/news/2022/02/25/report-finds-surge-in-vaccine-conspiracy-theories,Egypt,26.82,30.8,WB_HEALTH; TAX_FNCACT_JOURNALIST; CYBER_ATTACK,3,3,1,-7.66,3.03,9.22,12.25,4.73,2.09,WOUND;21;1;Egypt;26.82;30.8,Negative
GDELT-SYNTHETIC-20220304-00348,2022-03-04,2022,3,March,Q1,2022-03,Al Jazeera,https://www.aljazeera.com/news/2022/03/04/misleading-covid-stories-spread-across-platforms,Ethiopia,9.14,40.48,CONSPIRACY; TAX_FNCACT_JOURNALIST; ELECTION; PROPAGANDA; DISINFORMATION,5,5,1,-7.54,0.95,8.01,8.96,10.85,4.21,ARREST;35;1;Ethiopia;9.14;40.48,Negative
GDELT-SYNTHETIC-20220411-00435,2022-04-11,2022,4,April,Q2,2022-04,BBC News,https://www.bbc.com/news/2022/04/11/report-finds-surge-in-election-conspiracy-theories,Pakistan,30.37,69.34,INFORMATION_OPERATIONS; WB_HEALTH; SOC_POINTSOFINTEREST,3,3,1,-1.03,1.92,1.87,3.79,8.46,1.66,ARREST;14;1;Pakistan;30.37;69.34,Negative
GDELT-SYNTHETIC-20220420-00279,2022-04-20,2022,4,April,Q2,2022-04,Reuters,https://www.reuters.com/news/2022/04/20/social-media-flags-vaccine-posts-as-misinformation,Ghana,7.94,-1.02,CONSPIRACY; TAX_FNCACT_POLITICIAN,2,2,1,-2.35,1.32,4.36,5.68,8.41,2.13,KILL;10;1;Ghana;7.94;-1.02,Negative
GDELT-SYNTHETIC-20220427-00444,2022-04-27,2022,4,April,Q2,2022-04,France 24,https://www.france24.com/news/2022/04/27/journalists-targeted-amid-security-misinformation-wave,Indonesia,-0.78,113.92,ECON_BANKRUPTCY; CRISISLEX_CRISISLEXREC; CLIMATE_DENIAL; WB_MEDIA; INFORMATION_OPERATIONS; DISINFORMATION,6,6,1,-2.84,1.56,3.81,5.37,14.3,2.25,CRISISLEX_C07;34;1;Indonesia;-0.78;113.92,Negative
